knowledge,history,gpt2,begin_label,vrm_label
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004",,Hey,generic,ack.
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004",Hey there how s it going ! You like catch me if you can as much as i do ?,"Me too, have you seen Mean Girls?",generic,"question,disclosure"
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004",Opps I meant means girls !,"I thought it was really funny, but I guess it was not exactly a teen comedy",hallucination,disclosure
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004","Oh , Mean Girls ? It 's a great movie . Do you like Lindsay Lohan 's role as Cady Heron ?",Yes I do.  She is great.,hallucination,"disclosure,ack.,confirmation"
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004",Is n't Lindsey like the best female actress of all time or what ?,Not really.,hallucination,"ack.,confirmation"
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004",Yeah that s here name in the movie,hello,generic,ack.
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004",I think Rachel McAdams had an even    better role as Regina George however !,It was a classic,hallucination,disclosure
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004",Would you agree ?,yes,generic,"ack.,confirmation"
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004",Racheal Adams is wonderful as well ! ! !,hello,generic,ack.
"cast : Lindsay Lohan as Cady Heron Rachel McAdams as Regina George Lacey Chabert as Gretchen Wieners Amanda Seyfried as Karen Smith Lizzy Caplan as Janis Ian critical response : Boasts a one - two - three punch in star Lindsay Lohan , screenwriter Tina Fey and director Mark Waters , and , indeed , it delivers a knockout The screenplay was highly praised by critics with Peter Travers of Rolling Stone calling it ' comic gold ' . In November 2012 , Rotten Tomatoes named it in its ' Top 50 Greatest Teen Comedies ' . director : Mark Waters   genre : Comedy , teeny introduction : Mean Girls is a 2004 American teen comedy film directed by Mark Waters and written by Tina Fey . The film is partially based on Rosalind Wiseman 's 2002 non - fiction self - help book Queen Bees and Wannabes , which describes female high school social cliques and the damaging effects they can have on girls . movieName : Mean Girls rating : Rotten Tomatoes : 84 % and average : 6.9/10 Metacritic Score : 66/100 CinemaScore : A- year : 2004",  but i also like Regina George as well so its hard to pick to be honest,yeah she is a good actress,hallucination,"disclosure,ack."
